Data_NId,IUSNId,TimePeriod_NId,Area_NId,Data_Value,Start_Date,End_Date,Data_Denominator,Source_NId,Indicator_NId,Unit_NId,Subgroup_Val_NId,Indicator_GId,Unit_GId,Subgroup_Val_GId,TimePeriod,Area_GId,Source_GId
6984,1611,308,504,51.5,,,,617,395,13,222,c4fc0e08-1925-4d25-a868-9cf0cf852656,B602B58B-6879-4188-9D49-DD833281FE4E,bad355b9-2164-4ec1-8ea7-024e68ba4aaf,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5616,1557,317,504,70809,,,,617,794,9,249,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,ac9ff79d-0698-4510-9dd2-f026324cb280,2008,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
6857,862,308,504,11.29,,,,617,316,13,2,b97d77bd-f39b-4429-8a94-f1312e30f3cc,B602B58B-6879-4188-9D49-DD833281FE4E,15235530-8209-469e-8333-dc93254f2ec9,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
8428,1530,310,504,61333,,,,617,794,9,230,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,7418c013-8540-469e-a110-5a1fe98aca92,2004,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
6412,1543,315,745,134162,,,,617,794,9,9,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,a829fab7-cfdd-46f7-a8b7-678a952d2055,2007,05f1ba3b-c979-4cdb-8a79-9bbe030a17b4,D9725D2D-92DD-2D47-D992-CBC40062CECE
5937,1569,322,504,15685,,,,617,794,9,258,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,37aa6fbf-3d60-4c11-a8d6-9273bea258b3,2013,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
7025,1557,310,504,56901,,,,617,794,9,249,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,ac9ff79d-0698-4510-9dd2-f026324cb280,2004,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5300,1539,318,504,22070,,,,617,794,9,237,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,22407588-4f33-4739-ac48-8cb5bd638027,2009,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4783,4592,313,504,6456,,,,617,794,9,414,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,8589c595-4809-442e-b066-68cf9617ef6f,2006,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
6517,1191,269,504,2.8,,,,617,431,13,2,0cb6c6b6-330f-4e51-8e1f-d7d8fc3b2eb7,B602B58B-6879-4188-9D49-DD833281FE4E,15235530-8209-469e-8333-dc93254f2ec9,1980-1991,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
6520,1191,269,746,3.8,,,,617,431,13,2,0cb6c6b6-330f-4e51-8e1f-d7d8fc3b2eb7,B602B58B-6879-4188-9D49-DD833281FE4E,15235530-8209-469e-8333-dc93254f2ec9,1980-1991,57c818ed-c99e-43c2-95f8-7c658840ee4d,D9725D2D-92DD-2D47-D992-CBC40062CECE
5013,4585,322,504,48750,,,,617,794,9,407,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,577874f8-3d56-4662-9d57-9471a633d98c,2013,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5843,1516,323,745,161459,,,,617,794,9,8,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,2014,05f1ba3b-c979-4cdb-8a79-9bbe030a17b4,D9725D2D-92DD-2D47-D992-CBC40062CECE
5038,1528,320,504,25271,,,,617,794,9,228,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,716694cc-6158-4c24-8c6c-2678a0ce1393,2011,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5693,1595,321,504,33874,,,,617,794,9,268,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,6ccdc3f8-68fb-480d-b43d-4f80ea32aee8,2012,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4685,1568,317,504,84652,,,,617,794,9,15,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,81894cd6-eb4b-4be3-90db-026265f2a8d5,2008,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
6492,1572,310,504,209059,,,,617,794,9,5,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,5769cd91-f57b-4786-a4bc-0ee50253f616,2004,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
7598,1595,310,504,25096,,,,617,794,9,268,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,6ccdc3f8-68fb-480d-b43d-4f80ea32aee8,2004,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5786,1537,322,504,37237,,,,617,794,9,235,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,c57e2ea5-a253-4312-8418-bdfdb054b500,2013,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4444,4583,320,504,3099,,,,617,794,9,405,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,dc1229e5-5f65-4d56-929e-abeef7795c40,2011,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
6466,1604,308,504,80934,,,,617,794,9,6,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,c7ecd91c-75bb-42e2-a962-ea1b42502abb,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
6235,1543,326,746,28153,,,,617,794,9,9,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,a829fab7-cfdd-46f7-a8b7-678a952d2055,2017,57c818ed-c99e-43c2-95f8-7c658840ee4d,D9725D2D-92DD-2D47-D992-CBC40062CECE
4300,1533,319,504,189229,,,,617,794,9,231,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,aecce7fd-e8b8-4e7f-8f8f-96a56e67ad50,2010,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4427,4590,310,504,8539,,,,617,794,9,412,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,8388a324-91d8-4f62-b51e-056574d4a869,2004,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5655,4609,319,504,10758,,,,617,794,9,431,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,b4e87f28-7ca9-4154-9ade-f1b8f14a44a9,2010,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
6070,1516,318,745,142001,,,,617,794,9,8,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,2009,05f1ba3b-c979-4cdb-8a79-9bbe030a17b4,D9725D2D-92DD-2D47-D992-CBC40062CECE
5946,4552,269,745,2.8,,,,617,431,13,1,0cb6c6b6-330f-4e51-8e1f-d7d8fc3b2eb7,B602B58B-6879-4188-9D49-DD833281FE4E,971fc4f1-f2f8-47ff-8875-129c258ebf2e,1980-1991,05f1ba3b-c979-4cdb-8a79-9bbe030a17b4,D9725D2D-92DD-2D47-D992-CBC40062CECE
4257,1589,318,504,80639,,,,617,794,9,265,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,282d51c9-ba58-4d63-a53c-9de816d81eea,2009,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
